path,orignal_num,filter_num,removed_num,finished
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/j,151120,96589,7,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/c,358582,227893,33,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/x,115743,72067,4,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/s,3151977,1994509,277,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/v,7977013,5311056,686,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/7,8428,4966,1,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/n/3,18759,10817,0,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/n/y,763435,523006,47,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/n/z,84980,52924,4,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/n/d,337822,216055,33,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/n/9,21262,13345,0,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/n/k,196248,126931,18,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/n/a,774298,504884,82,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/n/r,66357,43129,11,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/n/f,48689,31645,1,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/n/e,296526,194092,20,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/n/q,8456,5618,0,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/n/8,14925,9083,1,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/n/o,135792,88169,11,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/n/4,34039,21935,3,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/n/b,96353,63353,8,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/n/g,406813,261790,37,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/n/6,13719,8550,1,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/n/p,59413,38329,2,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/n/l,72041,46176,10,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/n/u,144301,96511,9,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/n/h,64608,42338,6,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/n/m,109079,69724,13,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/n/t,466552,301417,42,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/n/i,8465747,5875736,585,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/n/5,14335,8470,1,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/n/symbols,708023,466107,40,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/n/w,39870,26000,4,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/n/1,69857,45002,4,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/n/n,1312342,877516,101,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/n/0,22397,14046,1,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/n/2,41740,26579,5,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/n/j,86908,56021,5,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/n/c,675289,429357,82,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/n/x,10845,7016,0,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/n/s,208664,131680,15,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/n/v,40407,25206,3,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/n/7,17601,10741,2,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/r/3,15342,9684,2,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/r/y,199709,121386,34,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/r/z,71407,41741,16,True
